Id,string
0,0000000000000000000000000000000000000000000000000000
1,0000000000000000000000000000000000000001110010011011
2,0000000000000000000000000000000000000001110011010011
3,0000000000000000000000000000000000000001110011010101
4,0000000000000000000000000000000000000001110011011011
5,0000000000000000000000000000000000000001110011011101
6,0000000000000000000000000000000000000001110101010011
7,0000000000000000000000000000000000000001110101010101
8,0000000000000000000000000000000000000001110101011011
9,0000000000000000000000000000000000000001110101011101
10,0000000000000000000000000000000000000001110111011011
11,0000000000000000000000000000000000000001110111011101
12,0000000000000000000000000000000000000001111101011101
13,0000000000000000000000000000000000000010000000000000
14,0000000000000000000000000000000000000100000000000000
15,0000000000000000000000000000000000001100000000000000
16,0000000000000000000000000000000000010100000000000000
17,0000000000000000000000000000001001010100000000000000
18,0000000000000000000000000000001001101100000000000000
19,0000000000000000000000000000001001110100000000000000
20,0000000000000000000000000000010000000010000000000000
21,0000000000000000000000000000010001101100000000000000
22,0000000000000000000000000000011000001000000000000000
23,0000000000000000000000000000011000001100000000000000
24,0000000000000000000000000000011000010100000000000000
25,0000000000000000000000000000011000101100000000000000
26,0000000000000000000000000000011001001000000000000000
27,0000000000000000000000000000011001001100000000000000
28,0000000000000000000000000000011001001110000000000000
29,0000000000000000000000000000011001010100000000000000
30,0000000000000000000000000000011001010110000000000000
31,0000000000000000000000000000011001100100000000000000
32,0000000000000000000000000000011001101100000000000000
33,0000000000000000000000000000011001101110000000000000
34,0000000000000000000000000000011001110000000000000000
35,0000000000000000000000000000011001110100000000000000
36,0000000000000000000000000000011001110110000000000000
37,0000000000000000000000000000011010001100000000000000
38,0000000000000000000000000000011010001110000000000000
39,0000000000000000000000000000011010010100000000000000
40,0000000000000000000000000000011010101100000000000000
41,0000000000000000000000000000011011010100000000000000
42,0000000000000000000000000000011011101100000000000000
43,0000000000000000000000000000011011110100000000000000
44,0000000000000000000000000000111001101100000000000000
45,0000000000000000000000000000111001101110000000000000
46,0000000000000000000000000000111001110100000000000000
47,0000000000000000000000000000111010010100000000000000
48,0000000000000000000000000000111010010110000000000000
49,0000000000000000000000000000111011101100000000000000
50,0000000000000000000000000000111011110100000000000000
51,0000000000000000000000000001001001101100000000000000
52,0000000000000000000000000001001001110100000000000000
53,0000000000000000000000000001010001110100000000000000
54,0000000000000000000000000001011001101100000000000000
55,0000000000000000000000000001011001101110000000000000
56,0000000000000000000000000001011001110100000000000000
57,0000000000000000000000000001011001110110000000000000
58,0000000000000000000000000001011010001100000000000000
59,0000000000000000000000000001011010001110000000000000
60,0000000000000000000000000001011010010100000000000000
61,0000000000000000000000000001011010010110000000000000
62,0000000000000000000000000001011011101100000000000000
63,0000000000000000000000000001011011110100000000000000
64,0000000000000000000000000010001001101100000000000000
65,0000000000000000000000000010001001110100000000000000
66,0000000000000000000000000010011001101100000000000000
67,0000000000000000000000000010011001101110000000000000
68,0000000000000000000000000010011001110100000000000000
69,0000000000000000000000000010011001110110000000000000
70,0000000000000000000000000010011010001100000000000000
71,0000000000000000000000000100000000000001010011011011
72,0000000000000000000000000100000000000001010011011101
73,0000000000000000000000000100000000000001010101011101
74,0000000000000000000000000100000000000001110010011011
75,0000000000000000000000000100000000000001110011011011
76,0000000000000000000000000100000000000001110011011101
77,0000000000000000000000000100000000000001110101001011
78,0000000000000000000000000100000000000001110101011011
79,0000000000000000000000000100000000000001110101011101
80,0000000000000000000000000100000000000001110111011011
81,0000000000000000000000000100000000000001110111011101
82,0000000000000000000000000100000000000010000000000000
83,0000000000000000000000000100000001101100000000000000
84,0000000000000000000000000100001001101100000000000000
85,0000000000000000000000000100001001101110000000000000
86,0000000000000000000000000100001001110100000000000000
87,0000000000000000000000000100001001110110000000000000
88,0000000000000000000000000100001011101100000000000000
89,0000000000000000000000000100001011110100000000000000
90,0000000000000000000000000100010001101100000000000000
91,0000000000000000000000000100010001110100000000000000
92,0000000000000000000000000100011001101000000000000000
93,0000000000000000000000000100011001101100000000000000
94,0000000000000000000000000100011001101110000000000000
95,0000000000000000000000000100011001110000000000000000
96,0000000000000000000000000100011001110100000000000000
97,0000000000000000000000000100011001110110000000000000
98,0000000000000000000000000100011010001100000000000000
99,0000000000000000000000000100011010001110000000000000
100,0000000000000000000000000100011010010100000000000000
101,0000000000000000000000000100011010101100000000000000
102,0000000000000000000000000100011010101110000000000000
103,0000000000000000000000000100011010110100000000000000
104,0000000000000000000000000100011011101100000000000000
105,0000000000000000000000000100011011101110000000000000
106,0000000000000000000000000100011011110100000000000000
107,0000000000000000000000000100011011110110000000000000
108,0000000000000000000000000100100000000001110011011011
109,0000000000000000000000000100100000000001110011011101
110,0000000000000000000000000100100000000001110101011011
111,0000000000000000000000000100100000000001110101011101
112,0000000000000000000000000100100000000001110111011011
113,0000000000000000000000000100100000000010000000000000
114,0000000000000000000000000100101001101100000000000000
115,0000000000000000000000000100101001110100000000000000
116,0000000000000000000000000100110001110100000000000000
117,0000000000000000000000000100111001101000000000000000
118,0000000000000000000000000100111001101100000000000000
119,0000000000000000000000000100111001101110000000000000
120,0000000000000000000000000100111001110000000000000000
121,0000000000000000000000000100111001110100000000000000
122,0000000000000000000000000100111001110110000000000000
123,0000000000000000000000000100111010000100000000000000
124,0000000000000000000000000100111010001100000000000000
125,0000000000000000000000000100111011101100000000000000
126,0000000000000000000000000100111011110100000000000000
127,0000000000000000000000000101000000000001010101011011
128,0000000000000000000000000101000000000001010101011101
129,0000000000000000000000000101000000000001110011001011
130,0000000000000000000000000101000000000001110011011011
131,0000000000000000000000000101000000000001110011011101
132,0000000000000000000000000101000000000001110100011011
133,0000000000000000000000000101000000000001110101011011
134,0000000000000000000000000101000000000001110101011101
135,0000000000000000000000000101000000000001110111011101
136,0000000000000000000000000101000000000010000000000000
137,0000000000000000000000000101000001101100000000000000
138,0000000000000000000000000101000011110100000000000000
139,0000000000000000000000000101001001101100000000000000
140,0000000000000000000000000101001001101110000000000000
141,0000000000000000000000000101001001110100000000000000
142,0000000000000000000000000101001001110110000000000000
143,0000000000000000000000000101001011101100000000000000
144,0000000000000000000000000101010001101100000000000000
145,0000000000000000000000000101010001110100000000000000
146,0000000000000000000000000101010001110110000000000000
147,0000000000000000000000000101010011110100000000000000
148,0000000000000000000000000101011001101000000000000000
149,0000000000000000000000000101011001101100000000000000
150,0000000000000000000000000101011001101110000000000000
151,0000000000000000000000000101011001110000000000000000
152,0000000000000000000000000101011001110100000000000000
153,0000000000000000000000000101011001110110000000000000
154,0000000000000000000000000101011001111100000000000000
155,0000000000000000000000000101011010001100000000000000
156,0000000000000000000000000101011010001110000000000000
157,0000000000000000000000000101011010010100000000000000
158,0000000000000000000000000101011010010110000000000000
159,0000000000000000000000000101011010101100000000000000
160,0000000000000000000000000101011010110100000000000000
161,0000000000000000000000000101011010110110000000000000
162,0000000000000000000000000101011011101100000000000000
163,0000000000000000000000000101011011101110000000000000
164,0000000000000000000000000101011011110100000000000000
165,0000000000000000000000000101011011110110000000000000
166,0000000000000000000000000101111001101100000000000000
167,0000000000000000000000000101111001110100000000000000
168,0000000000000000000000000101111010101100000000000000
169,0000000000000000000000000101111010101110000000000000
170,0000000000000000000000000101111011101100000000000000
171,0000000000000000000000000101111011110100000000000000
172,0000000000000000000000000110000000000001010011011011
173,0000000000000000000000000110000000000001110011011011
174,0000000000000000000000000110000000000001110011011101
175,0000000000000000000000000110000000000001110011011111
176,0000000000000000000000000110000000000001110100011101
177,0000000000000000000000000110000000000001110101001011
178,0000000000000000000000000110000000000001110101011011
179,0000000000000000000000000110000000000001110101011101
180,0000000000000000000000000110000000000001110101011111
181,0000000000000000000000000110000000000001110111011011
182,0000000000000000000000000110000000000001110111011101
183,0000000000000000000000000110000000000010000000000000
184,0000000000000000000000000110000001101100000000000000
185,0000000000000000000000000110000001110100000000000000
186,0000000000000000000000000110001001101100000000000000
187,0000000000000000000000000110001001101110000000000000
188,0000000000000000000000000110001001110100000000000000
189,0000000000000000000000000110001001110110000000000000
190,0000000000000000000000000110001011101100000000000000
191,0000000000000000000000000110010001101100000000000000
192,0000000000000000000000000110010001110100000000000000
193,0000000000000000000000000110010010010100000000000000
194,0000000000000000000000000110011001100100000000000000
195,0000000000000000000000000110011001101000000000000000
196,0000000000000000000000000110011001101100000000000000
197,0000000000000000000000000110011001101110000000000000
198,0000000000000000000000000110011001110000000000000000
199,0000000000000000000000000110011001110100000000000000
200,0000000000000000000000000110011001110110000000000000
201,0000000000000000000000000110011001111100000000000000
202,0000000000000000000000000110011010000100000000000000
203,0000000000000000000000000110011010001100000000000000
204,0000000000000000000000000110011010001110000000000000
205,0000000000000000000000000110011010010100000000000000
206,0000000000000000000000000110011010010110000000000000
207,0000000000000000000000000110011010101100000000000000
208,0000000000000000000000000110011010101110000000000000
209,0000000000000000000000000110011010110100000000000000
210,0000000000000000000000000110011010110110000000000000
211,0000000000000000000000000110011011010100000000000000
212,0000000000000000000000000110011011101100000000000000
213,0000000000000000000000000110011011101110000000000000
214,0000000000000000000000000110011011110100000000000000
215,0000000000000000000000000110011011110110000000000000
216,0000000000000000000000000110111010110100000000000000
217,0000000000000000000000000110111011101100000000000000
218,0000000000000000000000000111000000000001110101011101
219,0000000000000000000000000111000011110100000000000000
220,0000000000000000000000000111011001101100000000000000
221,0000000000000000000000000111011001110100000000000000
222,0000000000000000000000000111011010101100000000000000
223,0000000000000000000000000111011010110100000000000000
224,0000000000000000000000000111011011101100000000000000
225,0000000000000000000000000111011011110100000000000000
226,0000000000000000000000000111011011110110000000000000
227,0000000000000000000000001000000000000000000000000000
228,0000000000000000000000001000000000000001010011011101
229,0000000000000000000000001000000000000001010101011011
230,0000000000000000000000001000000000000001010101011101
231,0000000000000000000000001000000000000001010111011101
232,0000000000000000000000001000000000000001110011011011
233,0000000000000000000000001000000000000001110011011101
234,0000000000000000000000001000000000000001110101011011
235,0000000000000000000000001000000000000001110101011101
236,0000000000000000000000001000000000000001110111011011
237,0000000000000000000000001000000000000001110111011101
238,0000000000000000000000001000000000000010000000000000
239,0000000000000000000000001000000001110100000000000000
240,0000000000000000000000001000001001101100000000000000
241,0000000000000000000000001000001001110100000000000000
242,0000000000000000000000001000001001110110000000000000
243,0000000000000000000000001000001010000100000000000000
244,0000000000000000000000001000001011110100000000000000
245,0000000000000000000000001000010001101100000000000000
246,0000000000000000000000001000010001101110000000000000
247,0000000000000000000000001000010001110100000000000000
248,0000000000000000000000001000010001110110000000000000
249,0000000000000000000000001000011001100100000000000000
250,0000000000000000000000001000011001101000000000000000
251,0000000000000000000000001000011001101100000000000000
252,0000000000000000000000001000011001101110000000000000
253,0000000000000000000000001000011001110000000000000000
254,0000000000000000000000001000011001110100000000000000
255,0000000000000000000000001000011001110110000000000000
256,0000000000000000000000001000011001111100000000000000
257,0000000000000000000000001000011001111110000000000000
258,0000000000000000000000001000011010000100000000000000
259,0000000000000000000000001000011010001100000000000000
260,0000000000000000000000001000011010001110000000000000
261,0000000000000000000000001000011010010010000000000000
262,0000000000000000000000001000011010010100000000000000
263,0000000000000000000000001000011010010110000000000000
264,0000000000000000000000001000011010101100000000000000
265,0000000000000000000000001000011010101110000000000000
266,0000000000000000000000001000011010110100000000000000
267,0000000000000000000000001000011011101100000000000000
268,0000000000000000000000001000011011110100000000000000
269,0000000000000000000000001000100000000001110011011011
270,0000000000000000000000001000100000000001110011011101
271,0000000000000000000000001000100000000001110101011011
272,0000000000000000000000001000100000000001110101011101
273,0000000000000000000000001000100000000010000000000000
274,0000000000000000000000001000101001101100000000000000
275,0000000000000000000000001000101001110100000000000000
276,0000000000000000000000001000101010001100000000000000
277,0000000000000000000000001000101101101100000000000000
278,0000000000000000000000001000101101110100000000000000
279,0000000000000000000000001000101111110100000000000000
280,0000000000000000000000001000110001101100000000000000
281,0000000000000000000000001000110011101100000000000000
282,0000000000000000000000001000111001101100000000000000
283,0000000000000000000000001000111001101110000000000000
284,0000000000000000000000001000111001110100000000000000
285,0000000000000000000000001000111001110110000000000000
286,0000000000000000000000001000111010001100000000000000
287,0000000000000000000000001000111010010100000000000000
288,0000000000000000000000001000111010101100000000000000
289,0000000000000000000000001000111011101100000000000000
290,0000000000000000000000001000111011110100000000000000
291,0000000000000000000000001000111011110110000000000000
292,0000000000000000000000001001000000000000000000011011
293,0000000000000000000000001001000000000000000101011101
294,0000000000000000000000001001000000000001010011011011
295,0000000000000000000000001001000000000001010011011101
296,0000000000000000000000001001000000000001010101011011
297,0000000000000000000000001001000000000001010101011101
298,0000000000000000000000001001000000000001110011001101
299,0000000000000000000000001001000000000001110011011011
300,0000000000000000000000001001000000000001110011011101
301,0000000000000000000000001001000000000001110100011011
302,0000000000000000000000001001000000000001110101011010
303,0000000000000000000000001001000000000001110101011011
304,0000000000000000000000001001000000000001110101011101
305,0000000000000000000000001001000000000001110111011011
306,0000000000000000000000001001000000000001110111011101
307,0000000000000000000000001001000000000010000000000000
308,0000000000000000000000001001000000110100000000000000
309,0000000000000000000000001001000001101100000000000000
310,0000000000000000000000001001000001110100000000000000
311,0000000000000000000000001001000011101100000000000000
312,0000000000000000000000001001001001101100000000000000
313,0000000000000000000000001001001001101110000000000000
314,0000000000000000000000001001001001110100000000000000
315,0000000000000000000000001001001001110110000000000000
316,0000000000000000000000001001001010001100000000000000
317,0000000000000000000000001001001011101100000000000000
318,0000000000000000000000001001001011110100000000000000
319,0000000000000000000000001001001101101100000000000000
320,0000000000000000000000001001001101110100000000000000
321,0000000000000000000000001001010001101100000000000000
322,0000000000000000000000001001010001110000000000000000
323,0000000000000000000000001001010001110100000000000000
324,0000000000000000000000001001010011101100000000000000
325,0000000000000000000000001001011001101000000000000000
326,0000000000000000000000001001011001101100000000000000
327,0000000000000000000000001001011001101110000000000000
328,0000000000000000000000001001011001110000000000000000
329,0000000000000000000000001001011001110100000000000000
330,0000000000000000000000001001011001110110000000000000
331,0000000000000000000000001001011010000100000000000000
332,0000000000000000000000001001011010001010000000000000
333,0000000000000000000000001001011010001100000000000000
